City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Local Cheese (1kg),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),"Chicken Breasts (Boneless, Skinless), (1kg)",Monthly Pass (Regular Price),Gasoline (1 liter),Volkswagen Golf,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),Cappuccino (regular),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child"
"Saint Petersburg, Russia",7.34,29.35,4.4,2.2,2.2,0.76,0.53,0.98,0.71,1.18,7.6,0.63,5.87,0.88,1.89,2.2,0.59,3.96,42.56,0.67,19289.39,524.45,344.27,1012.53,615.19,102.17,0.03,6.96,26.27,18.33,5.14,71.86,38.25,74.88,100.72,2476.05,1507.7,645.94,10.29,1.47,0.26,4.4,1.29,1.25,0.56,0.86,1.96,0.92,1.91,0.89,0.48,7.18,19305.29,411.83,5388.86
"Istanbul, Turkey",4.58,15.28,3.82,3.06,3.06,0.64,0.24,0.71,0.36,1.62,5.32,0.33,7.64,1.79,2.48,2.75,0.41,3.5,31.32,1.05,24443.15,291.55,177.72,545.5,314.98,59.33,0.11,14.2,25.1,15.66,3.82,36.15,25.91,61.31,50.58,1315.18,657.05,436,19.08,0.76,0.47,3.59,0.85,0.86,0.59,0.61,1.84,1.3,0.8,1.91,0.62,9.73,20874.72,282.94,6905.43
"Izmir, Turkey",3.06,12.22,3.06,2.29,2.75,0.61,0.22,0.65,0.38,1.51,4.97,0.29,6.11,1.63,2.09,2.29,0.46,3.05,22.92,1.04,24443.15,212.22,128.36,353.76,225.34,51.07,0.09,12.89,20.64,11.67,3.06,33.2,22.48,52.74,42.2,856.54,508.14,392.07,22.23,0.61,0.57,3.51,0.77,0.73,0.52,0.57,1.56,1.31,0.7,1.78,0.58,8.61,20898.83,212.18,4948.41
"Helsinki, Finland",12,65,8,6.5,6.75,2.66,1.89,0.96,2.27,2.02,6.87,1.54,12,2.23,2.95,7.7,2.8,9.42,59.7,1.54,22000,986.93,758.13,1819.32,1271.16,82.66,0.07,22.31,34.54,24.72,14,83.41,31.41,82.49,120.97,7444.54,4099.36,2382.56,1.38,6,1,47.04,2.1,1.75,0.91,2.3,3.87,2.13,2.91,1.61,1.25,12.34,24402.77,351.6,1641
"Chisinau, Moldova",4.67,20.74,4.15,1.04,1.43,0.64,0.44,0.68,0.33,1.11,5.79,0.59,3.61,0.77,1.38,1.56,0.1,3.55,9.33,0.98,16335.12,244.49,177.96,428.67,330.84,113.46,0.07,8.58,26.64,12.1,5.19,56.54,35.37,86.25,94.38,904.82,589.13,286.95,9.42,1.3,0.18,3.11,0.7,1.22,0.56,0.84,1.25,0.93,1.56,1.37,0.59,5.37,17238.13,210.52,2679.3
"Milan, Italy",15,60,8,5,5,2.49,1.12,1.21,1.94,2.87,13.54,0.4,7,1.2,2.01,5.5,2,8.83,39,1.59,22400,1099.67,731.69,2311.84,1428.3,163.97,0.18,28.93,66.62,22.96,10,86.65,32.8,86.32,135.8,8221.95,3719.51,1601,1.95,5,1.12,28.32,2.13,2.05,1.28,1.27,1.46,2.25,2.45,1.99,1.27,17.75,23233.33,617.27,10761.9
"Cairo, Egypt",3.38,17.48,4.51,1.69,2.82,0.29,0.18,0.84,0.51,1.04,3.16,0.29,10.72,1.4,2.06,2.26,0.28,4.18,11.28,0.45,25098.6,188,109.76,352.74,229.29,25.79,0.01,14.77,26.19,7.07,4.51,42.38,44.32,114.98,56.92,695.67,407.03,221.7,13.42,0.39,0.17,1.13,1.31,0.39,0.47,0.28,1.65,0.65,0.35,0.66,0.34,8.06,21020.29,121.15,2781.29
"Banja Luka, Bosnia And Herzegovina",3.58,22.99,3.58,1.02,1.53,1.18,0.74,0.69,0.63,1.47,4.76,0.48,4.34,0.5,0.86,2.81,0.92,3.97,22.48,1.17,16859.68,219.72,159.73,398.18,259.32,141.04,0.1,21.34,20.7,9.38,2.55,63.44,26.64,73.77,74.25,1328.34,1008.17,430.69,4.46,1.02,0.77,7.66,0.86,1.18,0.55,0.55,0.85,1.05,0.94,1.06,0.64,7.43,16529.98,128.7,1348.77
"Baku, Azerbaijan",5.27,23.73,4.22,0.84,2.11,0.37,0.21,0.83,0.26,1.03,3.54,0.43,4.75,0.76,1.94,2.11,0.16,2.92,9.63,0.49,15558.4,290.07,157.97,608.91,299.45,42.65,0.03,15.51,30.43,16.73,3.69,43.59,40.16,93.36,76.12,1307.4,647.53,294.03,8.21,0.84,0.32,1.58,0.69,1.26,0.46,0.42,2.15,1.05,0.83,1.22,0.39,6.15,18564.59,208.84,5657.01
"Guadalajara, Mexico",5.25,23.86,4.25,1.43,2.39,0.66,0.51,0.87,1.35,1.25,4.09,0.73,7.16,0.82,1.48,2.48,0.43,4.65,18.67,1,16535.22,309.42,186.98,634.96,388.33,22.64,0.06,27.53,24.59,9.71,3.58,40.8,29.7,68.04,57.71,1016.15,922.24,498.68,11.24,1.43,0.46,7.16,1.96,1.02,1,0.73,1.99,1.04,0.98,0.94,1.03,6.88,15579.09,145.75,2826.61
