Year,Top MLB Salary,Minimum MLB Salary,Median Income For Families,Average MLB Salary
1970,135000,12000,43312,25022.36
1971,167000,12750,44355,30953.59
1972,167000,13500,45398,30953.59
1973,200000,15000,46441,37070.16
1974,250000,15000,47484,46337.71
1975,240000,16000,48527,44484.2
1976,240000,19000,49570,44484.2
1977,560000,19000,50613,103796.46
1978,560000,21000,51656,103796.46
1979,800000,21000,52699,148280.66
1980,1000000,30000,53742,185350.82
1981,1400000,32500,54785,259491.15
1982,1500000,33500,55828,278026.23
1983,1652333,35000,56871,306261.28
1984,1989875,40000,58920,368824.97
1985,2096967,60000,59624,388674.56
1986,1964423,60000,60115,364107.42
1987,2412500,62500,61153,447158.86
1988,2340000,62500,60370,433720.92
1989,2766667,68000,58607,512804
1990,3200000,100000,58153,578930
1991,3800000,100000,57843,891188
1992,6100000,109000,58515,1084408
1993,6200000,109000,60348,1120254
1994,6300000,109000,61225,1188679
1995,9237500,109000,62484,1071029
1996,9237500,109000,64781,1176967
1997,10000000,150000,66385,1383578
1998,14936667,170000,66248,1441406
1999,11949794,200000,64779,1720050
2000,15714286,200000,64047,1988034
2001,22000000,200000,63967,2264403
2002,22000000,200000,63745,2383235
2003,22000000,300000,64427,2370000
2004,21726881,300000,64930,2310000
2005,26000000,316000,65801,2480000
2006,21680727,327000,63455,2700000
2007,23428571,380000,63011,2820000
2008,28000000,390000,61364,2930000
2009,33000000,400000,60428,3000000
2010,33000000,400000,60313,3010000
2011,32000000,414000,62425,3210000
2012,30000000,480000,61468,3390000
2013,29000000,490000,64631,3690000
2014,28000000,500000,66657,3840000
2015,31000000,507500,67571,4380000
2016,33000000,507500,68168,4450000
2017,33000000,535000,72808,4451000
2018,34083333,545000,71186,4380000
2019,38333333,555000,70784,4430000
